"","cruise","set","day","month","year","length","condition","censored","hours","decktime","haul","dead","season"
"32","OP014",3,19,5,2006,34,4,0,0.083333333,22,"OP014   3",1,"summer"
"33","OP014",3,19,5,2006,26,4,1,49.41666667,23,"OP014   3",0,"summer"
"44","OP014",4,19,5,2006,49,4,1,47.58333333,15,"OP014   4",0,"summer"
"55","OP014",4,19,5,2006,34,4,1,47.28333333,33,"OP014   4",0,"summer"
"59","OP014",5,26,5,2006,32,4,0,0.016666667,26,"OP014   5",1,"summer"
"63","OP014",5,26,5,2006,34,4,1,66.88333333,29,"OP014   5",0,"summer"
"67","OP014",5,26,5,2006,24,4,0,0.016666667,32,"OP014   5",1,"summer"
"71","OP014",5,26,5,2006,35,4,0,0.016666667,45,"OP014   5",1,"summer"
"72","OP014",5,26,5,2006,40,4,0,0.016666667,45,"OP014   5",1,"summer"
"74","OP014",5,26,5,2006,38,4,0,0.016666667,47,"OP014   5",1,"summer"
"75","OP014",5,26,5,2006,37,4,1,66.56666667,48,"OP014   5",1,"summer"
"78","OP014",5,26,5,2006,34,4,0,0.016666667,50,"OP014   5",1,"summer"
"79","OP014",5,26,5,2006,35,4,0,0.016666667,58,"OP014   5",1,"summer"
"80","OP014",5,26,5,2006,33,4,0,0.016666667,58,"OP014   5",1,"summer"
"81","OP014",5,26,5,2006,31,4,0,0.016666667,59,"OP014   5",1,"summer"
"82","OP014",5,26,5,2006,30,4,0,0.016666667,60,"OP014   5",1,"summer"
"83","OP014",5,26,5,2006,31,4,0,0.016666667,60,"OP014   5",1,"summer"
"84","OP014",5,26,5,2006,35,4,0,0.016666667,60,"OP014   5",1,"summer"
"85","OP014",5,26,5,2006,33,4,0,0.016666667,61,"OP014   5",1,"summer"
"86","OP014",5,26,5,2006,27,4,0,0.016666667,62,"OP014   5",1,"summer"
"88","OP014",5,26,5,2006,29,4,1,66.33333333,62,"OP014   5",1,"summer"
"89","OP014",5,26,5,2006,26,4,0,0.016666667,63,"OP014   5",1,"summer"
"91","OP014",5,26,5,2006,26,4,0,0.016666667,64,"OP014   5",1,"summer"
"92","OP014",5,26,5,2006,28,4,0,0.016666667,65,"OP014   5",1,"summer"
"93","OP014",5,26,5,2006,28,4,0,0.016666667,65,"OP014   5",1,"summer"
"94","OP014",5,26,5,2006,30,4,0,0.016666667,66,"OP014   5",1,"summer"
"95","OP014",5,26,5,2006,26,4,0,0.016666667,67,"OP014   5",1,"summer"
"102","OP014",5,27,5,2006,29,4,0,0.016666667,18,"OP014   5",1,"summer"
"106","OP014",5,27,5,2006,31,4,0,0.016666667,23,"OP014   5",1,"summer"
"116","OP625",4,18,6,2006,20,4,0,6.76,12,"OP625   4",0,"summer"
"118","OP625",6,19,6,2006,36,4,1,52.36666667,11,"OP625   6",0,"summer"
"120","OP625",6,19,6,2006,40,4,0,0.016666667,13,"OP625   6",1,"summer"
"121","OP625",6,19,6,2006,27,4,0,6.733333333,14,"OP625   6",0,"summer"
"124","OP625",6,19,6,2006,28,4,0,0.016666667,19,"OP625   6",1,"summer"
"125","OP625",6,19,6,2006,21,4,0,6.633333333,20,"OP625   6",0,"summer"
"126","OP625",6,19,6,2006,31,4,0,0.016666667,34,"OP625   6",1,"summer"
"129","OP625",7,19,6,2006,32,4,1,48.55,16,"OP625   7",0,"summer"
"132","OP625",7,19,6,2006,37,4,0,2.933333333,18,"OP625   7",0,"summer"
"133","OP625",7,19,6,2006,23,4,0,2.933333333,18,"OP625   7",0,"summer"
"134","OP625",7,19,6,2006,22,4,0,2.916666667,19,"OP625   7",0,"summer"
"142","OP625",16,24,6,2006,17,4,0,0.016666667,13,"OP625   16",1,"summer"
"143","OP625",16,24,6,2006,25,4,0,0.016666667,13,"OP625   16",1,"summer"
"147","OP625",16,24,6,2006,26,4,0,0.016666667,18,"OP625   16",1,"summer"
"148","OP625",16,24,6,2006,33,4,0,0.016666667,19,"OP625   16",1,"summer"
"149","OP625",16,24,6,2006,30,4,0,0.016666667,19,"OP625   16",1,"summer"
"150","OP625",16,24,6,2006,27,4,0,19.33333333,20,"OP625   16",0,"summer"
"151","OP625",16,24,6,2006,33,4,0,0.016666667,21,"OP625   16",1,"summer"
"152","OP625",16,24,6,2006,30,4,0,0.016666667,21,"OP625   16",1,"summer"
"153","OP625",16,24,6,2006,25,4,0,4.75,22,"OP625   16",0,"summer"
"154","OP625",16,24,6,2006,22,4,0,0.016666667,22,"OP625   16",1,"summer"
"155","OP625",16,24,6,2006,26,4,0,4.733333333,23,"OP625   16",0,"summer"
"158","OP625",18,25,6,2006,21,4,0,1.633333333,18,"OP625   18",0,"summer"
"159","OP625",18,25,6,2006,32,4,0,5.116666667,19,"OP625   18",0,"summer"
"160","OP625",18,25,6,2006,34,4,0,0.016666667,20,"OP625   18",1,"summer"
"161","OP625",18,25,6,2006,33,4,0,0.016666667,20,"OP625   18",1,"summer"
"163","OP625",18,25,6,2006,34,4,0,0.033333333,21,"OP625   18",1,"summer"
"164","OP625",18,25,6,2006,23,4,0,1.566666667,22,"OP625   18",0,"summer"
"165","OP625",18,25,6,2006,27,4,0,0.016666667,22,"OP625   18",1,"summer"
"166","OP625",18,25,6,2006,37,4,0,0.016666667,35,"OP625   18",1,"summer"
"167","OP625",18,25,6,2006,27,4,0,0.016666667,35,"OP625   18",1,"summer"
"168","OP625",18,25,6,2006,31,4,0,0.016666667,36,"OP625   18",1,"summer"
"169","OP625",18,25,6,2006,35,4,0,0.016666667,36,"OP625   18",1,"summer"
"170","OP625",18,25,6,2006,23,4,0,0.016666667,37,"OP625   18",1,"summer"
"171","OP625",18,25,6,2006,25,4,0,0.016666667,37,"OP625   18",1,"summer"
"172","OP625",18,25,6,2006,38,4,0,0.016666667,38,"OP625   18",1,"summer"
"173","OP625",18,25,6,2006,38,4,0,0.016666667,38,"OP625   18",1,"summer"
"174","OP625",18,25,6,2006,25,4,0,0.016666667,39,"OP625   18",1,"summer"
"175","OP625",18,25,6,2006,31,4,0,0.016666667,39,"OP625   18",1,"summer"
"176","OP031",1,5,7,2006,30,4,0,0.016666667,13,"OP031   1",1,"summer"
"177","OP031",1,5,7,2006,25,4,0,0.016666667,20,"OP031   1",1,"summer"
"178","OP031",1,5,7,2006,26,4,0,8.533333333,20,"OP031   1",0,"summer"
"179","OP031",1,5,7,2006,26,4,0,0.016666667,21,"OP031   1",1,"summer"
"181","OP031",2,5,7,2006,29,4,1,48.6,9,"OP031   2",0,"summer"
"182","OP031",2,5,7,2006,30,4,0,0.016666667,10,"OP031   2",1,"summer"
"184","OP031",2,5,7,2006,29,4,1,48.55,12,"OP031   2",0,"summer"
"185","OP031",3,5,7,2006,24,4,0,0.016666667,35,"OP031   3",1,"summer"
"186","OP031",3,5,7,2006,26,4,0,0.016666667,36,"OP031   3",1,"summer"
"187","OP031",3,5,7,2006,23,4,0,0.016666667,36,"OP031   3",1,"summer"
"188","OP031",3,5,7,2006,25,4,0,0.016666667,38,"OP031   3",1,"summer"
"189","OP031",3,5,7,2006,24,4,0,0.016666667,40,"OP031   3",1,"summer"
"190","OP031",3,5,7,2006,25,4,0,0.016666667,40,"OP031   3",1,"summer"
"191","OP031",3,5,7,2006,24,4,0,0.016666667,49,"OP031   3",1,"summer"
"192","OP031",3,5,7,2006,24,4,0,0.016666667,50,"OP031   3",1,"summer"
"193","OP031",3,5,7,2006,18,4,0,0.016666667,51,"OP031   3",1,"summer"
"194","OP031",3,5,7,2006,22,4,0,0.016666667,52,"OP031   3",1,"summer"
"195","OP031",3,5,7,2006,20,4,0,0.016666667,53,"OP031   3",1,"summer"
